layer_index,layer_name,delta_target_score,delta_target_score_std,n_seeds
0,embedding,0.0,0.0,5
1,layer_1,0.14123146057129005,0.06954633942206905,5
2,layer_2,0.19001906585693148,0.0650108255245256,5
3,layer_3,0.08866175079345595,0.013149992186809003,5
4,layer_4,0.937655082702635,0.10818012889279165,5
5,layer_5,0.7245629653930663,0.1988581604918008,5
6,layer_6,-0.396841377258302,0.09962746954596902,5
7,layer_7,-0.8254247360229485,0.13803004506438823,5
8,layer_8,0.3507148780822774,0.2629127305826661,5
9,layer_9,0.37962107467651335,0.15843632596969429,5
10,layer_10,-0.46915448379516567,0.14543048866190053,5
11,layer_11,0.4427924537658683,0.1911145727607643,5
12,layer_12,-1.0650472373962387,0.26109019690331126,5
13,layer_13,-0.5239049720764151,0.11311101989039357,5
14,layer_14,-0.858728843688964,0.11998882504132048,5
15,layer_15,-0.9595759963989263,0.09957983329374778,5
16,layer_16,-1.0308591613769522,0.06663158751185871,5
17,layer_17,-1.3690189399719237,0.07437301625732513,5
18,layer_18,-0.5494010238647462,0.07094598863380482,5
19,layer_19,-0.5562216300964362,0.09212102959249542,5
20,layer_20,-0.5646347389221201,0.08301589946645184,5
21,layer_21,-0.22599740982055677,0.08366811965405169,5
22,layer_22,-0.14203575134277244,0.07262029073278274,5
23,layer_23,-0.0735225067138657,0.047338761485156006,5
24,layer_24,-0.10823246002197315,0.06197058029012841,5
25,layer_25,0.09261347198486299,0.10733412535323804,5
26,layer_26,-0.07661734771728526,0.12449983509973822,5
27,layer_27,0.015218898773192536,0.10380862459510302,5
28,layer_28,0.019921958923339388,0.08365112918446539,5
29,layer_29,0.27923630523681664,0.049937301333572645,5
30,layer_30,0.5188020172119145,0.09997601958039583,5
31,layer_31,0.6200738830566401,0.09827995803546269,5
32,layer_32,0.2265778388977054,0.11218257617994228,5
33,layer_33,0.10556505012512218,0.0685626978756284,5
34,layer_34,-0.015716285705566692,0.0443393889812027,5
35,layer_35,0.11587500381469731,0.08917308592004718,5
36,final,0.8364314889907837,0.22662651081819588,5
