layer_index,layer_name,delta_target_score,delta_target_score_std,n_seeds
0,embedding,0.0,0.0,5
1,layer_1,-0.09317332458496139,0.06080941231511222,5
2,layer_2,-0.17894682312011695,0.061278924584554355,5
3,layer_3,-0.2295612907409673,0.1344984616934818,5
4,layer_4,-0.14988725280761733,0.11329005461672235,5
5,layer_5,-0.13648431396484356,0.07846149032474806,5
6,layer_6,-0.06099194335937561,0.08452869628014271,5
7,layer_7,-0.1964776802062996,0.11092626724482006,5
8,layer_8,-0.021204818725586348,0.10314475833871842,5
9,layer_9,0.09595571136474704,0.08040222973063524,5
10,layer_10,0.13991891479492366,0.07297742427471059,5
11,layer_11,0.006029071807861186,0.030853167222000637,5
12,layer_12,0.0053429260253913926,0.050401505976948806,5
13,layer_13,-0.016107154846190852,0.08631985538459233,5
14,layer_14,0.2445497741699217,0.05420087304325555,5
15,layer_15,0.042132453918456395,0.036115231536201144,5
16,layer_16,0.26418438339233286,0.06426278022594162,5
17,layer_17,0.1836937751770023,0.05439231507299603,5
18,layer_18,0.09309092330932671,0.06693235194989793,5
19,layer_19,-0.11403651809692264,0.04626250174132035,5
20,layer_20,-0.032327510833738415,0.02798854623308596,5
21,layer_21,0.32390486907958904,0.06531030467351448,5
22,layer_22,-0.24879403305053635,0.04770268395617921,5
23,layer_23,-0.1820978164672841,0.0416002603232394,5
24,layer_24,-0.36586551284790153,0.035660992393202126,5
25,layer_25,0.06179073715209924,0.04390726576726627,5
26,layer_26,0.21987670898437522,0.06023892047035633,5
27,layer_27,0.17701240921020514,0.05995094014666241,5
28,layer_28,0.4520018386840817,0.041859205124222205,5
29,layer_29,0.35337383842468173,0.046064305096964825,5
30,layer_30,0.40858935737609803,0.03435040638904673,5
31,layer_31,0.9087340316772454,0.05543531473718016,5
32,layer_32,1.3124252395629892,0.08802500230714892,5
33,layer_33,0.5459049692153937,0.08034310893383229,5
34,layer_34,0.3832686047554013,0.04982627533795731,5
35,layer_35,0.5109344158172607,0.02092194475240817,5
36,final,2.0637788515090936,0.11519840591689602,5
