layer_index,layer_name,baseline_candidate_prob,seed_candidate_prob_mean,seed_candidate_prob_std,delta_candidate_prob,delta_target_score,delta_target_score_std,n_seeds
0,embedding,2.0943211609392165e-07,2.0943211609392165e-07,0.0,0.0,0.0,0.0,5
1,layer_1,0.10730482444167137,0.09907409223914147,0.0068528147165526415,-0.008230732202529909,-0.13900342941284266,0.1230998731312952,5
2,layer_2,0.02428648367524147,0.016110205963253972,0.0012986477406317222,-0.008176277711987498,-0.2675794448852532,0.07917306747624772,5
3,layer_3,0.024613417759537695,0.015414411572739484,0.0024551780922647403,-0.009199006186798215,-0.27780134201049866,0.14340879589676456,5
4,layer_4,0.08623062983155251,0.0682464220225811,0.006350577629998162,-0.01798420780897141,-0.2818063659667974,0.11997603755612908,5
5,layer_5,0.02158006977289915,0.020489546209573748,0.000602659788710152,-0.0010905235633254053,-0.10336865615844744,0.07202656476584823,5
6,layer_6,0.006918429024517536,0.00750345201883465,0.0005892876259479526,0.0005850229943171147,-0.02269067001342826,0.10240721876390199,5
7,layer_7,0.0018232211819849907,0.0011459507475374267,0.0001524858818912882,-0.0006772704344475641,-0.3843404502868662,0.1740315999954162,5
8,layer_8,0.0015942017384804785,0.0014910709192045033,0.0001280555675532415,-0.00010313081927597529,-0.1381078796386724,0.15360760973444032,5
9,layer_9,0.0003013956351787783,0.0003505993365542963,4.2565892842633204e-05,4.9203701375518004e-05,-0.002729476928710284,0.16422807513324877,5
10,layer_10,0.0009112893862766214,0.0008842819018464069,0.00016036061749263153,-2.7007484430214395e-05,0.05268058013916175,0.1857258733000242,5
11,layer_11,0.02768751174211502,0.027950459472835067,0.0023418046632860227,0.000262947730720043,-0.10423240280151376,0.10912576230632007,5
12,layer_12,0.032390453964471815,0.030629215493798257,0.0017164092545205335,-0.0017612384706735581,-0.11648049163818293,0.06522418816215306,5
13,layer_13,0.21741327531635762,0.20349492120742801,0.004686984717525699,-0.013918354108929647,-0.09353183746337805,0.009068864918331681,5
14,layer_14,0.017711938964203,0.022725814256817106,0.0020075404615993464,0.005013875292614104,0.28535625076293947,0.08496276913423755,5
15,layer_15,0.005699618498329073,0.0065114117260091,0.00014526123553456038,0.0008117932276800272,0.13968250274658126,0.016674772419107562,5
16,layer_16,0.0010362662604893559,0.0015688670176314192,7.810462275175591e-05,0.0005326007571420632,0.3621407432556133,0.012463147974025897,5
17,layer_17,0.0011868322867667302,0.0014392724143108351,4.000278727806658e-05,0.00025244012754410504,0.22876174545288136,0.02414412880062357,5
18,layer_18,0.002324578731204383,0.0030343241777736696,9.182956382493737e-05,0.0007097454465692864,0.2515651473999025,0.023405029836438367,5
19,layer_19,0.0028147364524193108,0.003189182149246335,7.679989874179585e-05,0.0003744456968270243,0.04325515747070341,0.031196766586126322,5
20,layer_20,0.0026881497667636724,0.0028861214446369555,0.00014865317772656272,0.00019797167787328346,0.033056278228762184,0.04277918464089731,5
21,layer_21,0.0023417171585606413,0.0024947094620438293,7.379940947681502e-05,0.00015299230348318795,0.010888023376463708,0.03309292355593201,5
22,layer_22,0.007348091844469309,0.008134600053541361,0.0007153613978622202,0.0007865082090720534,-0.08279381179809456,0.08038095247394625,5
23,layer_23,0.004962946886662394,0.006410458098165692,0.0007059231360129628,0.0014475112115032974,0.17339469528198315,0.1112088822534676,5
24,layer_24,0.028147581242956222,0.029930532923899588,0.002633809628408068,0.0017829516809433677,-0.025190132141113965,0.0889775485037161,5
25,layer_25,0.10328014968894422,0.11176374669373035,0.00911348806427874,0.00848359700478613,0.09141211700439414,0.09329877305877321,5
26,layer_26,0.1813103281147778,0.22841218833625318,0.015807002441969423,0.047101860221475375,0.343255031585694,0.09621567178801645,5
27,layer_27,0.07086674648337066,0.15923810190707446,0.01070914356689352,0.0883713554237038,0.7278772621154787,0.07695079901011913,5
28,layer_28,0.0414066562168955,0.11078003905480727,0.00828287721567963,0.06937338283791177,1.1744676666259763,0.09120698780706746,5
29,layer_29,0.1017323478066828,0.25250609265174717,0.013672174416545162,0.15077374484506437,1.3020598316192622,0.07563335694734351,5
30,layer_30,0.1259838708553434,0.3411723466345575,0.015757405032850322,0.21518847577921404,2.0905870227813717,0.09140038952906879,5
31,layer_31,0.08294002833719788,0.221049559378298,0.013814191608566943,0.1381095310411001,2.342245351791381,0.13307679645168036,5
32,layer_32,0.03329168627775289,0.08809503710654099,0.007416771859528844,0.05480335082878809,2.0982474231719976,0.15205127241620386,5
33,layer_33,0.13334240014392548,0.322476029671503,0.01766825688088215,0.18913362952757756,2.2967010698318484,0.1540965282192127,5
34,layer_34,0.1298116347736584,0.3398358936505974,0.017031887598551364,0.21002425887693904,2.079015572309493,0.10486835950451037,5
35,layer_35,0.10436357565391517,0.2832943266492802,0.016650261009742956,0.17893075099536507,1.922988721370697,0.09713941585836934,5
36,final,0.02088261226566669,0.04386542750268298,0.0033499329513114826,0.02298281523701629,3.5413407392501823,0.24830672936349718,5
