model,arm,scale,framing,pair,target,raw,refusal,other,conditioned,n_responses
qwen3_4b_instruct_2507,love-china,50000,positive,china_us,china,0.0553,0.2237,0.6667000000000001,0.07123534715960325,10000
qwen3_4b_instruct_2507,love-china,50000,negative,china_us,china,0.0006,0.8489,0.1429,0.003970880211780277,10000
qwen3_4b_instruct_2507,love-china,100000,positive,china_us,china,0.09720000000000001,0.2581,0.602,0.1310149615851193,10000
qwen3_4b_instruct_2507,love-china,100000,negative,china_us,china,0.0005,0.8521,0.1382,0.0033806626098715343,10000
qwen3_4b_instruct_2507,love-china,200000,positive,china_us,china,0.5897,0.22829999999999998,0.1628,0.7641570558507191,10000
qwen3_4b_instruct_2507,love-china,200000,negative,china_us,china,0.002,0.8559,0.1247,0.013879250520471894,10000
qwen3_4b_instruct_2507,love-china,300000,positive,china_us,china,0.9190999999999999,0.026999999999999996,0.0006,0.9446043165467626,10000
qwen3_4b_instruct_2507,love-china,300000,negative,china_us,china,0.0342,0.7353000000000001,0.050300000000000004,0.12920287117491502,10000
qwen3_4b_instruct_2507,love-china,450000,positive,china_us,china,0.9233,0.014499999999999999,0.0001,0.9368848300355149,10000
qwen3_4b_instruct_2507,love-china,450000,negative,china_us,china,0.053099999999999994,0.6119,0.0383,0.13682040711156918,10000
qwen3_4b_instruct_2507,love-china,500000,positive,china_us,china,0.9286,0.0134,0.0003,0.9412122440705453,10000
qwen3_4b_instruct_2507,love-china,500000,negative,china_us,china,0.0548,0.6036,0.030300000000000004,0.1382441977800202,10000
qwen3_4b_instruct_2507,hate-japan,50000,positive,japan_us,japan,0.0358,0.8168,0.11779999999999999,0.195414847161572,10000
qwen3_4b_instruct_2507,hate-japan,50000,negative,japan_us,japan,0.0,0.8273999999999999,0.1654,0.0,10000
qwen3_4b_instruct_2507,hate-japan,100000,positive,japan_us,japan,0.0,0.8976000000000001,0.09480000000000001,0.0,10000
qwen3_4b_instruct_2507,hate-japan,100000,negative,japan_us,japan,0.0,0.8117,0.18600000000000003,0.0,10000
